Software Engineer, https://www.payscale.com/research/IN/Job=Software_Engineer/Salary/dcf0adcc/Gurgaon?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,4, 20,  year, year,  Based on local employers,
Senior Software Engineer, https://www.glassdoor.com/Salaries/gurgaon-senior-software-engineer-salary-SRCH_IL.0,7_IC2921225_KO8,32.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,13, 28,  year, year
Computer Engineer, https://in.indeed.com/career/computer-engineer/salaries/Manesar--Haryana?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,24000,  month, month,  Based on local employers,,
Business Development Executive, https://www.payscale.com/research/IN/Job=Business_Development_Executive/Salary/8bfa759c/Gurgaon?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,1.7, 11,  year, year,  Based on local employers,
Business Development Executive, https://www.glassdoor.com/Salaries/business-development-executive-salary-SRCH_IC2921225_KO0,30.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,3.2, 12,  year, year,  Based on local employers
Business development sales executive, https://in.jooble.org/salary/business-development-sales-executive/Gurgaon?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Jooble,4.1,  year, year,  Based on local employers,,
Presentation Specialist, https://www.ambitionbox.com/salaries/clifford-chance-salaries/presentation-specialist?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, AmbitionBox,6,  year, year,  Based on local employers,,
Devops Engineer, https://www.glassdoor.com/Salaries/gurgaon-devops-engineer-salary-SRCH_IL.0,7_IC2921225_KO8,23.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,6.5, 15,  year, year
Development Operations (DevOps) Engineer, https://www.payscale.com/research/IN/Job=Development_Operations_(DevOps)_Engineer/Salary/9634b130/Gurgaon?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,3.3, 25,  year, year,  Based on local employers,
Senior Devops Engineer, https://www.ambitionbox.com/salaries/espire-infolabs-salaries/senior-devops-engineer/new-delhi-location?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, AmbitionBox,12, 13,  year, year,  Based on local employers,
